order_id,customer_id,delivery_status,delivery_time
1,1803,On Time,39
2,1345,Delayed,17
3,1404,On Time,147
4,1011,On Time,36
5,1616,On Time,129
6,1395,On Time,69
7,1054,On Time,158
8,1297,On Time,136
9,1869,On Time,99
10,1907,On Time,131
11,1170,On Time,157
12,1824,On Time,162
13,1166,On Time,143
14,1385,On Time,20
15,1831,Delayed,88
16,1348,On Time,80
17,1906,Delayed,21
18,1807,On Time,133
19,1558,Delayed,145
20,1026,On Time,19
21,1325,On Time,29
22,1419,Delayed,153
23,1866,On Time,79
24,1444,On Time,68
25,1911,On Time,168
26,1826,On Time,45
27,1898,On Time,83
28,1306,Delayed,172
29,1362,On Time,170
30,1388,On Time,19
31,1432,On Time,123
32,1485,Delayed,74
33,1764,On Time,38
34,1023,On Time,106
35,1641,On Time,23
36,1409,On Time,60
37,1134,On Time,74
38,1055,On Time,118
39,1936,On Time,117
40,1173,On Time,52
41,1973,On Time,163
42,1784,On Time,92
43,1457,On Time,138
44,1130,Delayed,132
45,1359,On Time,112
46,1893,On Time,28
47,1144,Delayed,128
48,1793,On Time,110
49,1895,On Time,85
50,1567,On Time,123
51,1059,On Time,151
52,1680,On Time,117
53,1212,Delayed,171
54,1358,On Time,68
55,1220,Delayed,145
56,1652,On Time,133
57,1711,On Time,48
58,1154,On Time,120
59,1529,Delayed,101
60,1598,On Time,68
61,1346,On Time,125
62,1690,Delayed,118
63,1560,On Time,66
64,1282,On Time,173
65,1385,On Time,44
66,1744,On Time,27
67,1235,On Time,16
68,1959,On Time,22
69,1591,On Time,21
70,1848,On Time,55
71,1850,On Time,31
72,1895,On Time,137
73,1729,On Time,140
74,1587,On Time,70
75,1134,On Time,132
76,1506,On Time,75
77,1270,On Time,108
78,1981,On Time,22
79,1881,Delayed,155
80,1982,On Time,58
81,1549,On Time,83
82,1195,On Time,104
83,1530,Delayed,82
84,1431,On Time,46
85,1368,On Time,27
86,1767,On Time,102
87,1612,On Time,51
88,1209,On Time,74
89,1296,On Time,136
90,1296,On Time,77
91,1783,On Time,119
92,1245,On Time,50
93,1701,On Time,133
94,1276,On Time,32
95,1187,On Time,87
96,1927,On Time,67
97,1623,On Time,113
98,1020,On Time,53
99,1951,On Time,178
100,1099,Delayed,88
101,1764,On Time,51
102,1739,Delayed,108
103,1935,On Time,56
104,1412,Delayed,27
105,1114,On Time,88
106,1814,On Time,170
107,1480,On Time,90
108,1908,On Time,68
109,1758,Delayed,154
110,1209,On Time,147
111,1301,On Time,62
112,1454,On Time,88
113,1761,On Time,54
114,1295,On Time,54
115,1887,On Time,149
116,1861,Delayed,129
117,1719,On Time,144
118,1690,On Time,15
119,1023,On Time,23
120,1866,On Time,174
121,1071,Delayed,18
122,1642,On Time,37
